sID,group,delay,intercept,slope,clean_range,n_good,calibErr,kLE,kRE,beforeRefit_kLE,beforeRefit_kRE,U2,U3,sigma,AE,FE,kAE,kFE,uAE,uFE,step1attenuationErr,step2normalizationErr,softmaxErr
NS_G_QP_15,NS,0.466331046653402,0.12218171573752,1.11804966289485,0.5,28,0.00049198418317833,1,0.919190698372739,1,0.884064681313006,1.66152360189561,2.38294717745841e-08,1.30538094081642,right,left,0.919190698372739,1,2.38294717745841e-08,1.66152360189561,0.22460161898411,0.0740808249842365,0.0740796081816668
NS_G_RA_57,NS,0.606140507044002,-0.0279590726228233,1.14364963897694,0.5,28,0.00146568378693874,1,0.777238883913224,1,0.870230732912169,0.770041634477264,1.06598179766037,1.18072253466977,right,left,0.777238883913224,1,1.06598179766037,0.770041634477264,0.210599167445079,0.0525616522454532,0.052788448637835
NS_G_RE_17,NS,1.03537064766282,0.132050702972119,1.1746059842025,0.5,28,0.00116588982752198,0.938817647020235,1,0.860656047688405,1,0.523038672460021,0.556894738712091,1.23979672599635,left,right,0.938817647020235,1,0.523038672460021,0.556894738712091,0.189796684138714,0.0742764982358813,0.0736089749428929
NS_L_AA_53,NS,0.97185329846739,0.32853541152734,1.68900814390366,0.5,28,0.00118870192210312,1,0.937269250521558,0.96437294758492,1,1.26917081556141,0.602155734604083,0.837045463484154,right,left,0.937269250521558,1,0.602155734604083,1.26917081556141,0.245560495081343,0.153521070485392,0.152613941909493
NS_L_IR,NS,0.721619757544995,0.00285655468413144,1.11557480478155,0.5,28,0.0010309696455091,1,0.974325451785438,1,0.979138838818348,0.986069736167951,0.978770445626236,0.906819346990267,right,left,0.974325451785438,1,0.978770445626236,0.986069736167951,0.150494889588134,0.0235341792916025,0.0235402672991346
NS_L_KA_18,NS,0.92609911338192,0.283961987633761,1.6162087965289,0.5,28,0.000352807367437742,1,0.7252272143574,1,0.7485618364038,0.0671527181936564,3.78842467783163,0.998810335625407,right,left,0.7252272143574,1,3.78842467783163,0.0671527181936564,0.186617909499006,0.108805432891408,0.108811336572279
NS_L_KH_27,NS,0.017068928139556,-0.0372044916256366,0.869387208238563,0.5,28,0.00109739755695628,0.942773755339068,1,0.922504367625506,1,0.536982932796812,0.820760058165325,1.31737374125965,left,right,0.942773755339068,1,0.536982932796812,0.820760058165325,0.225367113618084,0.0575465013903438,0.0573764428836463
NS_L_PZ_47,NS,1.31664702177703,0.143444073599487,1.36934546354766,0.5,28,0.00355409533021433,0.929442518511877,1,0.874991233695253,1,0.869916797987594,0.818679912802451,0.704764323557043,left,right,0.929442518511877,1,0.869916797987594,0.818679912802451,0.153266518071488,0.0895992809318118,0.0900173455758064
NS_L_VD_28,NS,0.744873698994597,-0.0975096182028106,0.946783160986177,0.5,28,0.000356445068417988,0.79896308319168,1,0.948937751244179,1,0.760179750878191,0.596670797277987,1.35347188291905,left,right,0.79896308319168,1,0.760179750878191,0.596670797277987,0.229087419083136,0.0400181273798435,0.0412595855555674
NS_L_XQ_17,NS,0.797221362620419,0.0912827903432357,1.0957364830906,0.5,28,0.000518258833620101,1,0.959786410883484,0.936402318445214,1,0.598005352812894,0.773020013362442,1.15589831909173,right,left,0.959786410883484,1,0.773020013362442,0.598005352812894,0.18818189218977,0.0558010062047091,0.0552511214251216
NS_L_YA,NS,1.05123915631371,0.155571543353059,1.55874687434478,0.5,28,0.00110808220513638,0.93812416633615,1,0.898501432452797,1,4.70690105297069e-08,1.28028431086381,1.25763465309279,left,right,0.93812416633615,1,4.70690105297069e-08,1.28028431086381,0.256161439612645,0.140208323486967,0.139778323106756
NS_L_YI_34,NS,0.698701576103337,0.282409590579825,1.57449335071268,0.5,28,0.00157078622028317,1,0.962598795061349,1,0.955613450123113,0.760772485756537,0.494329047905331,1.03547967895189,right,left,0.962598795061349,1,0.494329047905331,0.760772485756537,0.219215948380412,0.129017535280871,0.129028605810169
NS_L_YL_16,NS,1.09855353841798,0.2716468396725,1.43100237214427,0.5,28,0.000910270290489831,0.958179371455328,1,1,0.986993674854411,0.599065636272967,0.840126695593111,1.1048590531162,left,right,0.958179371455328,1,0.599065636272967,0.840126695593111,0.261677756208018,0.127123247621453,0.12705500607503
