sID,group,softmax,meanJoystick,simpleAverage,weightedAverage,softmax_tau,ds2006,ds2006_tau,bmg2007,simpleMax,rivalry,dualMeanNull
BD_RE_L_WI_56,BD,0.136842633888844,0.170631211558276,0.145619202945291,0.143252789394497,0.143096730033617,0.411458380260313,0.409456864338444,0.1479772144655,0.181831347145942,0.078264541061772,0.0470412679343909
NS_G_AU_22,NS,0.0267529890005662,0.107121110327845,0.0778760409628201,0.0778333686190166,0.0457470473948297,0.477015120917457,0.47415540176814,0.0270326067544573,0.0291729083156433,0.0202770810043957,0.0247651104283867
NS_G_BZ_66,NS,0.077422028362985,0.147157917288715,0.0900958769037156,0.0898048585237237,0.0818225562447347,0.405526335252828,0.403904220209265,0.0813309085222227,0.0991932895119617,0.0375597407120934,0.0364736794845421
NS_G_HK_50,NS,0.162651332035476,0.256897747625846,0.291542216322671,0.290986236159102,0.192981730671534,0.821614063795558,0.819710342511453,0.163204785230737,0.177742686095786,0.152153145168281,0.0893654429699117
NS_G_QP_15,NS,0.0739977145712973,0.155457804461102,0.0885569325318639,0.0885747803662542,0.0773673170088478,0.40781442730061,0.405342214765192,0.0733945262041429,0.0925903838115329,0.0332992665738812,0.0353963143689725
NS_G_RA_57,NS,0.0517942997677225,0.106844897125489,0.0773505774227835,0.0740432520094898,0.0635536626914624,0.41500943385634,0.414262907045392,0.0558854374568055,0.0708044802022211,0.034483636060752,0.028502622732466
NS_G_RE_17,NS,0.0734533325936658,0.14760182371117,0.102937195157884,0.102700327183869,0.0813379271417936,0.478816057101595,0.476582230056772,0.0744397753428393,0.0816420442298822,0.0396544278349267,0.0377100181554453
NS_L_AA_53,NS,0.151636454262743,0.227711502450938,0.282995453471805,0.283008777312554,0.169846205101554,0.832392316105884,0.829357856789919,0.153078828043881,0.166564830739151,0.144664987388938,0.0910721313748693
NS_L_IR,NS,0.02331323029402,0.10093727177859,0.117817417698499,0.117775559719985,0.0548009275603079,0.593221904664497,0.589560568757959,0.0262565959559199,0.0288786816728347,0.0257133174603986,0.0310424219413609
NS_L_KA_18,NS,0.108761853409277,0.214333864125792,0.156083675993125,0.144492345095935,0.116503600069144,0.51627009117165,0.515370200895592,0.112754865541022,0.125476897835607,0.0646877907082253,0.0604000537480327
NS_L_KH_27,NS,0.0572182736537667,0.107707734893379,0.0774173276637255,0.077480543952114,0.0656338017821408,0.423496531485792,0.422774620575207,0.0611944342210286,0.075310982997457,0.0335795513906728,0.0179748525902566
NS_L_PZ_47,NS,0.0887821243346113,0.205985647481918,0.294463760900502,0.29386816524597,0.132302588013889,0.888872056901179,0.886465013938113,0.0966731314897242,0.135567082706093,0.124532970175131,0.0499376578676141
NS_L_VD_28,NS,0.0387474935794552,0.117349976604765,0.0571987431396863,0.0550702958209039,0.0463705851107414,0.370439255854413,0.368785344647361,0.0390762686899461,0.0576562474518628,0.0201962776267263,0.0206828471994849
NS_L_XQ_17,NS,0.0551858650938849,0.143933133781865,0.0920325545983247,0.0919807134787255,0.0646101676427579,0.476064002522417,0.473058196397129,0.0563023116606214,0.060484814684864,0.0299440979148314,0.0351556562854285
NS_L_YA,NS,0.13961978192858,0.218395720049111,0.171966394245243,0.171831559620724,0.146268841568222,0.554357182231322,0.551579624035122,0.141250965838309,0.147740759470487,0.0797188412945584,0.0607737972445339
NS_L_YI_34,NS,0.127851083273093,0.256286673883014,0.199612685613656,0.199920981465889,0.138447699465176,0.62941255694798,0.627639259075521,0.128815640366962,0.133897719312462,0.0842605695832296,0.0678777705699968
NS_L_YL_16,NS,0.126974157542739,0.228264859748511,0.178011697735878,0.177793209549622,0.140561113948434,0.584994067581014,0.58337793058035,0.128639103249931,0.126995945938402,0.0741779655392444,0.0552481238460874
